Species,CommonName,HeadLength,BodyLength,Comments
Crocodylus porosus,Estuarine Crocodile,24,161,Source:
Crocodylus porosus,Estuarine Crocodile,24,179,"Paul C. Sereno, Hans C. E. Larsson, Christian A. Sidor, and Boub´e Gado."
Crocodylus porosus,Estuarine Crocodile,32,226,The giant crocodyliform Sarcosuchus from the cretaceous of Africa.
Crocodylus porosus,Estuarine Crocodile,35,259,"Science, 294:1516–1519, 2001."
Crocodylus porosus,Estuarine Crocodile,40,287,
Crocodylus porosus,Estuarine Crocodile,40,300,Measurements (in cm) of the head length and body length of adult crocodiles.
Crocodylus porosus,Estuarine Crocodile,46,342,
Crocodylus porosus,Estuarine Crocodile,48,333,
Crocodylus porosus,Estuarine Crocodile,52,406,
Crocodylus porosus,Estuarine Crocodile,61,459,
Crocodylus porosus,Estuarine Crocodile,51,376,
Crocodylus porosus,Estuarine Crocodile,54,380,
Crocodylus porosus,Estuarine Crocodile,38,265,
Crocodylus porosus,Estuarine Crocodile,46,349,
Crocodylus porosus,Estuarine Crocodile,38,264,
Crocodylus porosus,Estuarine Crocodile,49,358,
Crocodylus porosus,Estuarine Crocodile,39,276,
Crocodylus porosus,Estuarine Crocodile,49,356,
Crocodylus porosus,Estuarine Crocodile,40,270,
Crocodylus porosus,Estuarine Crocodile,53,392,
Crocodylus porosus,Estuarine Crocodile,61,442,
Crocodylus porosus,Estuarine Crocodile,53,377,
Crocodylus porosus,Estuarine Crocodile,44,322,
Crocodylus porosus,Estuarine Crocodile,54,390,
Crocodylus porosus,Estuarine Crocodile,50,377,
Crocodylus porosus,Estuarine Crocodile,57,419,
Crocodylus porosus,Estuarine Crocodile,51,368,
Gavialis gangeticus,Indian Gharial,35,177,
Crocodylus porosus,Estuarine Crocodile,276,40,
Gavialis gangeticus,Indian Gharial,49,264,
Gavialis gangeticus,Indian Gharial,56,311,
Gavialis gangeticus,Indian Gharial,64,382,
Gavialis gangeticus,Indian Gharial,61,385,
Gavialis gangeticus,Indian Gharial,71,475,
Gavialis gangeticus,Indian Gharial,83,548,
Gavialis gangeticus,Indian Gharial,51,343,
Gavialis gangeticus,Indian Gharial,62,386,
Gavialis gangeticus,Indian Gharial,52,338,
Gavialis gangeticus,Indian Gharial,52,319,
Gavialis gangeticus,Indian Gharial,39.5,224,
Gavialis gangeticus,Indian Gharial,38.3,202,
Gavialis gangeticus,Indian Gharial,37.5,218,
Gavialis gangeticus,Indian Gharial,32.3,183,
Gavialis gangeticus,Indian Gharial,35.8,203,
Gavialis gangeticus,Indian Gharial,38.2,209,
