State,Population,Spending,StateSpend,LocalSpend,GrossStateProd,StateGrowth,LSpending,LPopulation,Predicted Value of Spending,Residual
Alabama,4.8,13.2,5.3,7.9,198.3,1.4,2.58021683,1.568615918,14.21,-1.01
Alaska,0.7,3.8,1.6,2.2,59.9,-0.5,1.335001067,-0.356674944,1.92,1.88
Arizona,6.7,14.7,4.7,10,286.9,1.6,2.687847494,1.902107526,19.91,-5.21
Arkansas,3,9.3,3.6,5.7,128.9,2.3,2.2300144,1.098612289,8.82,0.48
California,38.7,110.1,33.8,76.2,2275.7,2.1,4.701389044,3.6558396,115.85,-5.75
Colorado,5.3,14.4,5.5,8.9,308,3.2,2.667228207,1.667706821,15.71,-1.31
Connecticut,3.6,12.1,3.3,8.7,256,1.5,2.493205453,1.280933845,10.61,1.49
Delaware,0.9,3.5,1.7,1.9,64.7,1.8,1.252762968,-0.105360516,2.52,0.98
Florida,19.8,42,10.5,31.5,829.3,2.2,3.737669618,2.985681938,59.19,-17.19
Georgia,10.1,26.2,8.6,17.6,469.8,2,3.265759411,2.312535424,30.1,-3.9
Hawaii,1.4,3.9,3.8,0.1,77.8,2,1.360976553,0.336472237,4.02,-0.12
Idaho,1.6,3.3,1.1,2.2,65.6,3.4,1.193922468,0.470003629,4.62,-1.32
Illinois,12.9,38.3,8.8,29.6,739.1,1.4,3.645449896,2.557227311,38.5,-0.2
Indiana,6.6,18.7,8,10.8,327.1,2.1,2.928523524,1.887069649,19.61,-0.91
Iowa,3.1,10.3,3.2,7.1,173.5,2.6,2.332143895,1.131402111,9.12,1.18
Kansas,2.9,9.4,2.9,6.5,148.9,2,2.240709689,1.064710737,8.52,0.88
Kentucky,4.4,12,5.5,6.5,188.8,1.8,2.48490665,1.481604541,13.01,-1.01
Louisiana,4.6,13,4.9,8.1,257.9,1.7,2.564949357,1.526056303,13.61,-0.61
Maine,1.3,2.8,1,1.8,56.3,1.4,1.029619417,0.262364264,3.72,-0.92
Maryland,6,20.3,6,14.3,350,0.9,3.010620886,1.791759469,17.81,2.49
Massachusetts,6.7,20.2,6.5,13.8,460.3,1.9,3.005682604,1.902107526,19.91,0.29
Michigan,9.9,36.1,10.9,25.2,447.4,2.1,3.586292865,2.292534757,29.5,6.6
Minnesota,5.5,16.2,5.5,10.7,324.3,2.6,2.785011242,1.704748092,16.31,-0.11
Mississippi,3,7.8,2.6,5.3,108.6,1.8,2.054123734,1.098612289,8.82,-1.02
Missouri,6.1,15.8,4.8,10.9,283.8,1.4,2.76000994,1.808288771,18.11,-2.31
Montana,1,2.7,0.9,1.8,45.7,2.7,0.993251773,0,2.82,-0.12
Nebraska,1.9,6.1,2,4.2,115.1,2.7,1.808288771,0.641853886,5.52,0.58
Nevada,2.8,5.8,1.6,4.3,135.5,1.5,1.757857918,1.029619417,8.22,-2.42
New Hampshire,1.3,4.1,1.2,2.9,69.7,1.5,1.410986974,0.262364264,3.72,0.38
New Jersey,8.9,35.7,9.4,26.3,558.1,1.6,3.575150689,2.186051277,26.51,9.19
New Mexico,2.1,7,2.5,4.5,95.2,1.8,1.945910149,0.741937345,6.12,0.88
New York,19.7,74.6,13.2,61.3,1344.2,1.4,4.312140507,2.980618636,58.89,15.71
North Carolina,9.9,29.5,9.7,19.7,488.6,2.3,3.384390263,2.292534757,29.5,0
North Dakota,0.7,2.7,1.2,1.5,62,7.1,0.993251773,-0.356674944,1.92,0.78
Ohio,11.6,32.4,8.7,23.7,582.1,2,3.478158423,2.451005098,34.6,-2.2
Oklahoma,3.9,10,4.1,5.8,191,3.4,2.302585093,1.360976553,11.51,-1.51
Oregon,4,11.3,3.5,7.7,228,2.5,2.424802726,1.386294361,11.81,-0.51
Pennsylvania,12.8,37.7,10.8,26.9,661.6,1.3,3.629660094,2.549445171,38.2,-0.5
Rhode Island,1.1,3.3,1.1,2.2,54.8,1.8,1.193922468,0.09531018,3.12,0.18
South Carolina,4.8,11,5.1,5.9,189.1,1.6,2.397895273,1.568615918,14.21,-3.21
South Dakota,0.9,2.1,0.6,1.4,49.2,2.8,0.741937345,-0.105360516,2.52,-0.42
Tennessee,6.5,14.9,5.6,9.4,295.3,1.4,2.701361213,1.871802177,19.31,-4.41
Texas,26.8,90.5,23.6,66.9,1594,3.1,4.505349851,3.288401888,80.17,10.33
Utah,2.9,9,4.5,4.5,147.1,3.2,2.197224577,1.064710737,8.52,0.48
Vermont,0.6,2.5,0.9,1.5,30.5,2,0.916290732,-0.510825624,1.62,0.88
Virginia,8.3,24,8.9,15.2,462.4,1,3.17805383,2.116255515,24.71,-0.71
Washington,7,20.5,8.1,12.4,423.5,2.5,3.020424886,1.945910149,20.81,-0.31
West Virginia,1.9,6,2.4,3.5,77.6,4,1.791759469,0.641853886,5.52,0.48
Wisconsin,5.8,19.3,6.1,13.2,292.2,1.9,2.960105096,1.757857918,17.21,2.09
Wyoming,0.6,2.6,0.6,1.9,48.4,5.6,0.955511445,-0.510825624,1.62,0.98
