Same,Different
15.52,25.89
18.52,46.42
21.6,25.66
14.41,18.14
19.21,25.56
20.67,28.01
16.02,27.34
11.98,21.61
14.4,19.57
12.11,25.05
12.33,21.47
18.11,20.62
10.39,20.4
18.75,24.79
8.71,23.89
11.16,20.27
13.53,25.02
14.76,15.76
11.22,26.73
10.69,16.4
19.33,24.9
21.87,22.59
15.97,17.12
19.11,28.37
18.52,27.42
17.37,25.1
9.38,23.06
15.78,18.56
10.61,22.02
17.81,27.13
17.54,28.12
13.58,21.69
11.67,19.42
13.68,24.58
10.89,21.2
19.81,27.04
11.89,18.53
18.37,24.81
