University,Y2008,Y2013
Penn State,13706,15562
Pittsburgh,13642,15730
Michigan,11738,12800
Rutgers,11540,10356
Michigan State,10690,12622
Maryland,8005,12245
Illinois,12106,11636
Minnesota,10634,12060
Missouri,7386,8082
Buffalo,6385,5570
Indiana,8231,8750
Ohio State,8679,9168
Virginia,9300,9622
Cal-Davis,9497,11220
Cal-Berkeley,7656,11220
Cal-Irvine,8046,11220
Purdue,7750,9208
Cal-San Diego,8062,11220
Oregon,6435,8010
Wisconsin,7569,9273
Washington,6802,11305
UCLA,8310,11220
Texas,8532,9790
Nebraska,6584,6480
Iowa,6544,6678
Colorado,7278,8056
Iowa State,5524,6648
North Carolina,5397,5823
Kansas,7042,8790
Arizona,5542,9114
Florida,3256,4425
Georgia Tech,6040,7718
Texas A&M,7844,5297
